Context,Response
Context: but it's uncomfortable.,Response: it's the law.
Context: it's the law.,Response: it's so much trouble.
Context: it's so much trouble.,Response: it's common sense.
Context: it's common sense.,Response: it's so tight that it's hard for me to breathe.
Context: it's so tight that it's hard for me to breathe.,Response: hold your breath till we get there.
Context: hold your breath till we get there.,"Response: okay, my seatbelt is on."
"Context: okay, my seatbelt is on.",Response: i'm glad you don't complain very much.
Context: i'm glad you don't complain very much.,Response: i'm ready for an accident.
Context: what are you doing?,Response: i'm going to change the light bulb. it burnt out.
Context: i'm going to change the light bulb. it burnt out.,Response: what are you standing on?
Context: what are you standing on?,Response: a couple of dictionaries and some textbooks.
Context: a couple of dictionaries and some textbooks.,Response: are you crazy?
Context: are you crazy?,Response: what's the matter?
Context: what's the matter?,Response: those books will slip and you'll fall.
Context: those books will slip and you'll fall.,Response: it's only a couple of feet.
Context: it's only a couple of feet.,"Response: what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?"
"Context: what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",Response: i never thought about that.
Context: i never thought about that.,Response: you'd be blind for the rest of your life!
Context: you'd be blind for the rest of your life!,Response: i'll get the stepladder.
Context: did you see that puddle of water on the floor?,Response: yes. i called for a clean-up.
Context: yes. i called for a clean-up.,Response: a puddle of water is very dangerous.
Context: a puddle of water is very dangerous.,Response: it isn't easy to see.
Context: it isn't easy to see.,Response: but it's real easy to slip on.
Context: but it's real easy to slip on.,Response: especially on these slick floors.
Context: especially on these slick floors.,Response: someone who slips could hurt their back.
Context: someone who slips could hurt their back.,Response: they could even crack their head open.
Context: they could even crack their head open.,Response: we should stand here till the clean-up person gets here.
Context: we should stand here till the clean-up person gets here.,Response: we can leave if we put an orange cone here.
Context: we can leave if we put an orange cone here.,"Response: yes, but i don't know where the orange cones are."
"Context: yes, but i don't know where the orange cones are.",Response:  it doesn't matter. here he comes now with the mop.
Context: what happens when the fire alarm rings?,Response: we tell our students to leave the classroom.
Context: we tell our students to leave the classroom.,Response: can they take their belongings?
Context: can they take their belongings?,"Response: yes, if they do it quickly."
"Context: yes, if they do it quickly.",Response: where do the students go?
Context: where do the students go?,Response: they go out to the north parking lot.
Context: they go out to the north parking lot.,Response: what do the teachers do?
Context: what do the teachers do?,Response: we take our rosters to the parking lot and take roll.
Context: we take our rosters to the parking lot and take roll.,Response: why do you do that?
Context: why do you do that?,Response: we want to make sure all the students are out of the building.
Context: we want to make sure all the students are out of the building.,"Response: if they are all outside, then what?"
"Context: if they are all outside, then what?",Response: then we just wait outside for a fireman to tell us to go back in.
Context: i have to go back upstairs.,Response: why? we're already late.
Context: why? we're already late.,Response: i have to check the stove.
Context: i have to check the stove.,Response: what's the matter?
Context: what's the matter?,Response: maybe i left the burner on.
Context: maybe i left the burner on.,"Response: no, you didn't. i checked the stove before we left."
"Context: no, you didn't. i checked the stove before we left.",Response: are you sure?
Context: are you sure?,Response: of course i'm sure.
Context: of course i'm sure.,"Response: well, i have to go back upstairs anyway."
"Context: well, i have to go back upstairs anyway.",Response: it's getting later every minute.
Context: it's getting later every minute.,Response: i think i left the water running.
Context: i think i left the water running.,"Response: no, you didn't. let's go! the only thing running is the clock!"
Context: the city is buying guns.,Response: what are they paying?
Context: what are they paying?,"Response: up to $200 for each gun, no questions asked."
"Context: up to $200 for each gun, no questions asked.",Response: why are they doing this?
Context: why are they doing this?,Response: they want to get guns off the street.
Context: they want to get guns off the street.,Response: who would turn in a gun for $200?
Context: who would turn in a gun for $200?,Response: that isn't a good deal?
Context: that isn't a good deal?,Response: a good gun costs $400 or more.
Context: a good gun costs $400 or more.,"Response: well, if you bring your receipt, maybe they'll give you $400."
